DATEADDED,Daily Average Tone
20150219,-0.4528301886792453
20150220,0.8809523809523809
20150221,0.5818181818181818
20150222,0.3448275862068966
20150223,0.5303030303030303
20150224,0.5147058823529411
20150225,-0.03225806451612903
20150226,-0.3625
20150227,-0.5544554455445545
20150228,-1.4047619047619047
20150301,0.9655172413793104
20150302,0.07272727272727272
20150303,-0.2376237623762376
20150304,-0.4065040650406504
20150305,-0.20202020202020202
20150306,0.10810810810810811
20150307,0.27586206896551724
20150308,0.5151515151515151
20150309,-0.08333333333333333
20150310,0.578125
20150311,-0.4696969696969697
20150312,-0.8072289156626506
20150313,-1.2692307692307692
20150314,1.1851851851851851
20150315,0.5555555555555556
20150316,0.625
20150317,-1.0980392156862746
20150318,-0.8636363636363636
20150319,0.6071428571428571
20150320,-0.7619047619047619
20150321,-1.6
20150322,-1.3333333333333333
20150323,-0.6506024096385542
20150324,0.09803921568627451
20150325,-0.5606060606060606
20150326,0.7948717948717948
20150327,0.9259259259259259
20150328,0.4375
20150329,0.4444444444444444
20150330,-0.34285714285714286
20150331,-0.3
20150401,-0.359375
20150402,0.3409090909090909
20150403,0.7833333333333333
20150404,0.2727272727272727
20150405,0.18181818181818182
20150406,-0.6097560975609756
20150407,-0.23376623376623376
20150408,0.7936507936507936
20150409,0.1896551724137931
20150410,-0.2698412698412698
20150411,0.5263157894736842
20150412,-0.7777777777777778
20150413,0.3
20150414,-0.5909090909090909
20150415,0.3333333333333333
20150416,0.3722627737226277
20150417,0.27358490566037735
20150418,0.47368421052631576
20150419,-0.3076923076923077
20150420,-0.16666666666666666
20150421,1.411764705882353
20150422,1.662162162162162
20150423,-0.4842105263157895
20150424,-1.0
20150425,-0.21875
20150426,0.47619047619047616
20150427,0.45454545454545453
20150428,0.7037037037037037
20150429,0.5081967213114754
20150430,0.40384615384615385
20150501,-2.4390243902439024
20150502,0.2222222222222222
20150503,-0.8333333333333334
20150504,1.5294117647058822
20150505,0.09278350515463918
20150506,-0.06666666666666667
20150507,-0.7619047619047619
20150508,-0.6037735849056604
20150509,-0.5
20150510,0.7058823529411765
20150511,-0.4791666666666667
20150512,0.6805555555555556
20150513,-0.07547169811320754
20150514,-0.390625
20150515,-0.6770186335403726
20150516,0.13725490196078433
20150517,0.48717948717948717
20150518,-0.10588235294117647
20150519,-0.19148936170212766
20150520,-0.3829787234042553
20150521,0.7272727272727273
20150522,-0.3448275862068966
20150523,-0.6507936507936508
20150524,-0.6428571428571429
20150525,-2.608108108108108
20150526,-1.2790697674418605
20150527,-1.1384615384615384
20150528,0.41304347826086957
20150529,0.3076923076923077
20150530,0.47058823529411764
20150531,-3.896551724137931
20150601,2.230769230769231
20150602,1.280701754385965
20150603,-0.6862745098039216
20150604,-0.8235294117647058
20150605,-0.075
