DATEADDED,Daily Average Tone
20150524,-90.49253731343283
20150525,-205.78756476683938
20150526,-464.9230769230769
20150527,-141.44525547445255
20150528,-183.1656050955414
20150529,-365.6623376623377
20150530,-226.3850267379679
20150531,-81.78787878787878
20150601,-972.598971722365
20150602,-670.6016260162602
20150603,-333.76981132075474
20150604,-214.25631768953068
20150605,-157.36868686868686
20150606,-88.42465753424658
20150607,-116.08571428571429
20150608,-314.01063829787233
20150609,-102.66455696202532
20150610,-69.52409638554217
20150611,-182.42162162162163
20150612,-193.77372262773721
20150613,-201.7537313432836
20150614,-36.486111111111114
20150615,-104.30737704918033
20150616,-233.893536121673
20150617,-138.2970297029703
20150618,-97.875
20150619,-236.26108374384236
20150620,-172.32704402515722
20150621,-75.14925373134328
20150622,-164.94814814814814
20150623,-232.53648068669528
20150624,-73.89090909090909
20150625,18.338607594936708
20150626,-115.30508474576271
20150627,28.647058823529413
20150628,-50.7319587628866
20150629,11.781954887218046
20150630,110.91598360655738
20150701,-283.36340852130326
20150702,-103.84581497797357
20150703,-66.13274336283186
20150704,-74.44761904761904
20150705,-54.197080291970806
20150706,-88.1078431372549
20150707,-218.50335570469798
20150708,-21.35126582278481
20150709,-178.74761904761905
20150710,-437.0181818181818
20150711,-454.29050279329607
20150712,-93.43283582089552
20150713,-544.2175324675325
20150714,-531.1809045226131
20150715,-589.6849710982659
20150716,-316.58285714285716
20150717,-170.09623430962344
20150718,-10.096774193548388
20150719,-71.53846153846153
20150720,-319.7368421052632
20150721,-374.625
20150722,-421.9382716049383
20150723,-208.625
20150724,-284.87373737373736
20150725,-257.8988764044944
20150726,-209.0275229357798
20150727,-183.24096385542168
20150728,-192.71945701357467
20150729,-294.6005434782609
20150730,-158.79538904899135
20150731,-158.45906432748538
20150801,-260.7025641025641
20150802,-178.32820512820513
20150803,-145.42735042735043
20150804,-482.3709090909091
20150805,-274.2888888888889
20150806,-174.25555555555556
20150807,-402.3890909090909
20150808,-268.73248407643314
20150809,-257.54901960784315
20150810,-111.49268292682927
20150811,-120.6376811594203
20150812,-278.06093189964156
20150813,-242.6701030927835
20150814,-242.48792270531402
20150815,-489.9220779220779
20150816,-235.9920634920635
20150817,-541.2916666666666
20150818,-440.1679104477612
20150819,-353.5770491803279
20150820,-191.49769585253455
20150821,-126.17054263565892
20150822,-101.74257425742574
20150823,-122.45714285714286
20150824,-271.0113636363636
20150825,-401.97222222222223
20150826,-514.4576802507837
20150827,-314.8782287822878
20150828,-333.5748987854251
20150829,-363.0960451977401
20150830,-94.75115207373273
20150831,-432.2025316455696
20150901,-372.7611336032389
20150902,-414.3973799126638
20150903,-500.5880503144654
20150904,-377.5953307392996
20150905,-147.6
20150906,-119.82352941176471
20150907,-137.16831683168317
20150908,-178.65079365079364
20150909,-192.99574468085106
20150910,-205.54358974358973
20150911,-362.4266211604096
20150912,-190.33913043478262
20150913,-41.33783783783784
20150914,-157.75539568345323
20150915,-621.2458628841607
20150916,-657.5326797385621
20150917,-271.29057591623035
20150918,-198.3403361344538
20150919,-258.22
20150920,-196.4010989010989
20150921,-291.64516129032256
20150922,-317.8689138576779
20150923,-312.9016393442623
20150924,-390.09302325581393
20150925,-232.4618320610687
20150926,-333.2158273381295
20150927,-112.75454545454545
20150928,-137.51293103448276
20150929,-483.5242718446602
20150930,-462.55160142348757
20151001,-277.63513513513516
20151002,-302.49751243781094
20151003,-407.34444444444443
20151004,-82.41007194244604
20151005,-77.32876712328768
20151006,-378.68345323741005
20151007,-172.04025423728814
20151008,-220.4936386768448
20151009,-219.03041825095056
20151010,-133.75471698113208
20151011,-224.08609271523179
20151012,-268.52016129032256
20151013,-237.0103626943005
20151014,-289.4527559055118
20151015,-455.0195439739414
20151016,-717.6802030456853
20151017,-212.64383561643837
20151018,-94.86290322580645
20151019,-417.57142857142856
20151020,-503.5414551607445
20151021,-55.373493975903614
20151022,-113.68518518518519
20151023,-283.05494505494505
20151024,-106.5374149659864
20151025,-80.81451612903226
20151026,-131.4972375690608
20151027,-657.3513513513514
20151028,-326.080118694362
20151029,-575.8176638176639
20151030,-407.6376811594203
20151031,-152.28571428571428
20151101,-35.833333333333336
20151102,-453.7012987012987
20151103,-365.92703862660943
20151104,-236.61089494163423
20151105,-355.9166666666667
20151106,-337.9186991869919
20151107,-121.60330578512396
20151108,-166.8235294117647
20151109,-250.89783281733747
20151110,-333.34119782214157
20151111,-498.0921052631579
20151112,-354.77407407407406
20151113,-325.73313782991204
20151114,-222.98173515981736
20151115,-355.1911111111111
20151116,-567.8689655172413
20151117,-410.17411764705884
20151118,-751.7169117647059
20151119,-617.4087912087912
20151120,-364.22651933701655
20151121,-147.02424242424243
20151122,-108.87777777777778
20151123,-490.4036458333333
20151124,-966.815144766147
20151125,-891.7504950495049
20151126,-1626.398537477148
20151127,-862.3400576368877
20151128,-203.0955414012739
20151129,-263.8045977011494
20151130,-167.7909604519774
20151201,-500.95584415584415
20151202,-94.48148148148148
20151203,-381.11309523809524
20151204,-790.739837398374
20151205,-514.2302631578947
20151206,-465.56934306569343
20151207,-428.848
20151208,-335.036036036036
20151209,-534.4733893557423
20151210,-983.1729893778452
20151211,-664.7402912621359
20151212,-391.2988505747126
20151213,-441.56734693877553
20151214,-653.3562091503268
20151215,-861.1875
20151216,-808.3905996758509
20151217,-386.09316770186336
20151218,-660.754189944134
20151219,-271.4840425531915
20151220,-291.7987804878049
20151221,-428.425
20151222,-102.01570680628272
20151223,-253.93069306930693
20151224,-61.01904761904762
20151225,-94.5
20151226,-8.161764705882353
20151227,-95.71764705882353
20151228,-211.9640287769784
20151229,-473.1284403669725
20151230,-609.1424802110818
20151231,-405.8452012383901
20160101,-100.81560283687944
20160102,-159.321608040201
20160103,-127.35964912280701
20160104,-157.668
20160105,-363.70848708487085
20160106,-493.2028985507246
20160107,-422.73354231974923
20160108,-534.1833333333333
20160109,-294.98924731182797
20160110,-97.97619047619048
20160111,-157.56730769230768
20160112,-275.35497835497836
20160113,-299.13157894736844
20160114,-332.8252032520325
20160115,-166.05791505791507
20160116,-247.8
20160117,-181.58771929824562
20160118,-395.5566502463054
20160119,-660.9140049140049
20160120,-709.9450800915332
20160121,-576.149863760218
20160122,-297.22324159021406
20160123,-490.9858490566038
20160124,-275.125
20160125,-90.64761904761905
20160126,-288.3979591836735
20160127,-178.24347826086955
20160128,-155.89709762532982
20160129,-424.8605577689243
20160130,-159.73170731707316
20160131,-104.59615384615384
20160201,-428.4375
20160202,-355.0063694267516
20160203,-181.23280423280423
20160204,-104.84507042253522
20160205,-518.1959287531806
20160206,-373.7515923566879
20160207,-374.32
20160208,-455.30576441102755
20160209,-369.4594059405941
20160210,-374.73716012084594
20160211,-209.40851063829788
20160212,-538.0488888888889
20160213,-121.88432835820896
20160214,-58.13855421686747
20160215,-114.86440677966101
20160216,-331.96108949416345
20160217,-536.4252491694352
20160218,-154.5427807486631
20160219,-340.24251497005986
20160220,-92.08148148148148
20160221,-215.9248120300752
20160222,-455.1136363636364
20160223,-580.6811023622047
20160224,-236.13504823151126
20160225,-543.937875751503
20160226,-651.6887661141805
20160227,-392.9795321637427
20160228,-370.42629482071715
20160229,-377.9182156133829
20160301,-488.7742663656885
20160302,-1955.6484607745779
20160303,-1563.3293492695884
20160304,-1359.035335689046
20160305,-521.017316017316
20160306,-237.20149253731344
20160307,-244.92558139534884
20160308,-177.26543209876544
20160309,-345.5872340425532
20160310,-416.24715909090907
20160311,-256.53092783505156
20160312,-251.80405405405406
20160313,-226.6386554621849
20160314,-372.15408805031444
20160315,-491.19312169312167
20160316,-456.555223880597
20160317,-261.4936170212766
20160318,-156.20945945945945
20160319,-145.50420168067228
20160320,-179.16929133858267
20160321,-465.15561224489795
20160322,-297.6796875
20160323,-341.34640522875816
20160324,-309.3960396039604
20160325,-330.0330188679245
20160326,-131.2967032967033
20160327,-301.7894736842105
20160328,-866.2885572139304
20160329,-239.15642458100558
20160330,-360.93023255813955
20160331,-183.46919431279622
20160401,-573.7774798927614
20160402,-369.6186440677966
20160403,-303.1292134831461
20160404,-522.9511278195489
20160405,-239.61596958174906
20160406,-349.3977695167286
20160407,-473.4887640449438
20160408,-316.5859375
20160409,-248.67320261437908
20160410,-210.7278911564626
20160411,-219.8495575221239
20160412,-380.92176039119806
20160413,-230.3072033898305
20160414,-163.4136690647482
20160415,-288.0809968847352
20160416,-229.91978609625667
20160417,-95.13953488372093
20160418,-183.42592592592592
20160419,-323.33734939759034
20160420,-242.3089005235602
20160421,-265.57142857142856
20160422,-310.23893805309734
20160423,-174.42741935483872
20160424,-266.87581699346407
20160425,-110.22285714285714
20160426,-296.1012658227848
20160427,-541.9902912621359
20160428,-403.71860465116276
20160429,-428.08187134502924
20160430,-133.4971098265896
20160501,-191.39316239316238
20160502,-279.88235294117646
20160503,-165.52252252252254
20160504,-243.69950738916256
20160505,-234.31782945736435
20160506,-345.46822742474916
20160507,-362.98333333333335
20160508,-82.37288135593221
20160509,-500.62452107279694
20160510,-1152.6565934065934
20160511,-860.7320061255742
20160512,-623.0047169811321
20160513,-900.6890625
20160514,-324.53198653198655
20160515,-228.35735735735736
20160516,-420.22592592592594
20160517,-465.33475479744135
20160518,-609.2437923250565
20160519,-474.6672862453532
20160520,-263.26162790697674
20160521,-227.42929292929293
20160522,-102.03539823008849
20160523,-278.2894736842105
20160524,-1008.9140401146132
20160525,-580.9405099150142
20160526,-168.16326530612244
20160527,-410.5566502463054
20160528,-360.78995433789953
20160529,-191.09459459459458
20160530,-479.41379310344826
20160531,-1227.8971962616822
20160601,-1111.1859375
20160602,-517.9582366589327
20160603,-317.64285714285717
20160604,-178.4
20160605,-162.15217391304347
20160606,-251.2944162436548
20160607,-395.41584158415844
20160608,-278.609649122807
20160609,-399.7942238267148
20160610,-427.83388704318935
20160611,-108.48421052631579
20160612,-241.95714285714286
20160613,-573.3747126436782
20160614,-497.9697802197802
20160615,-577.8801089918256
20160616,-1818.6132404181185
20160617,-1145.553003533569
20160618,-380.5221238938053
20160619,-440.3626373626374
