Date,Open,High,Low,Close,Volume,Daily Average Tone
2015-02-18,75.94000244140625,76.9000015258789,75.44999694824219,76.70999908447266,22426400,-14.285714285714286
2015-02-19,76.98999786376953,79.83999633789062,76.94999694824219,79.41999816894531,45851200,-376.3921568627451
2015-02-20,79.55000305175781,80.33999633789062,79.19999694824219,79.9000015258789,36931700,-475.3935185185185
2015-02-23,79.95999908447266,80.19000244140625,78.37999725341797,78.83999633789062,24139100,-494.7700729927007
2015-02-24,78.5,79.4800033569336,78.0999984741211,78.44999694824219,18897100,-266.34615384615387
2015-02-25,78.5,80.19999694824219,78.5,79.55999755859375,25593800,-130.97196261682242
2015-02-26,79.87999725341797,81.37000274658203,79.72000122070312,80.41000366210938,31111900,-284.3135593220339
2015-02-27,80.68000030517578,81.2300033569336,78.62000274658203,78.97000122070312,30739200,-241.5941176470588
2015-03-02,79.0,79.86000061035156,78.5199966430664,79.75,21662500,-462.8167330677291
2015-03-03,79.61000061035156,79.69999694824219,78.5199966430664,79.5999984741211,18635000,-248.36927223719675
2015-03-04,79.30000305175781,81.1500015258789,78.8499984741211,80.9000015258789,28126700,-738.0944206008584
2015-03-05,81.2300033569336,81.98999786376953,81.05000305175781,81.20999908447266,27825700,-568.6920903954802
2015-03-06,80.9000015258789,81.33000183105469,79.83000183105469,80.01000213623047,24488600,-492.4510638297872
2015-03-09,79.68000030517578,79.91000366210938,78.62999725341797,79.44000244140625,18925100,-284.65625
2015-03-10,78.5,79.26000213623047,77.55000305175781,77.55000305175781,23067100,-534.3885542168674
2015-03-11,77.80000305175781,78.43000030517578,77.26000213623047,77.56999969482422,20215700,-452.5959595959596
2015-03-12,78.0999984741211,79.05000305175781,77.91000366210938,78.93000030517578,16093300,-356.92558139534884
2015-03-13,78.5999984741211,79.37999725341797,77.68000030517578,78.05000305175781,18557300,-523.2770700636943
2015-03-16,77.95999908447266,78.12000274658203,77.36000061035156,78.06999969482422,19305400,-536.760752688172
2015-03-17,78.36000061035156,79.77999877929688,78.33999633789062,79.36000061035156,22170000,-439.4493670886076
2015-03-18,79.25,81.23999786376953,79.16999816894531,80.91000366210938,36912400,-412.5401069518717
2015-03-19,81.12000274658203,83.0,81.0,82.75,42099500,-1150.447247706422
2015-03-20,83.38999938964844,84.5999984741211,83.06999969482422,83.80000305175781,44466300,-564.1724137931035
2015-03-23,83.91999816894531,84.95999908447266,83.30000305175781,84.43000030517578,27357300,-199.66477272727272
2015-03-24,84.70999908447266,86.06999969482422,84.5199966430664,85.30999755859375,32576500,-391.8005319148936
2015-03-25,85.5,85.5199966430664,82.91999816894531,82.91999816894531,37436100,-430.5131964809384
2015-03-26,82.72000122070312,83.7699966430664,82.13999938964844,83.01000213623047,32794800,-126.11650485436893
2015-03-27,83.37999725341797,83.94999694824219,82.87999725341797,83.30000305175781,18372600,-326.8243243243243
2015-03-30,83.80999755859375,84.33999633789062,82.41000366210938,83.19999694824219,24527700,-279.3511904761905
2015-03-31,82.9000015258789,83.5,82.20999908447266,82.22000122070312,19734300,-181.2322274881517
2015-04-01,82.5,82.72000122070312,80.87000274658203,81.66999816894531,22058200,-365.6920634920635
2015-04-02,82.25,82.55999755859375,81.44000244140625,81.55999755859375,19664100,-449.73949579831935
2015-04-06,80.80000305175781,82.80999755859375,80.80000305175781,82.44000244140625,19062900,-460.45666666666665
2015-04-07,82.6500015258789,83.41999816894531,82.22000122070312,82.31999969482422,17467000,-641.5432098765432
2015-04-08,82.62999725341797,83.0999984741211,81.83999633789062,82.27999877929688,18966700,-393.07094594594594
2015-04-09,82.5,82.80000305175781,81.70999908447266,82.16999816894531,15927300,-458.2485714285714
2015-04-10,82.20999908447266,82.61000061035156,81.91000366210938,82.04000091552734,12529700,-296.7267267267267
2015-04-13,81.93000030517578,83.94000244140625,81.91999816894531,83.01000213623047,26883100,-219.34437086092717
2015-04-14,83.16999816894531,83.69000244140625,82.44000244140625,83.5199966430664,19634200,-175.3450704225352
2015-04-15,83.55000305175781,83.66000366210938,82.2699966430664,82.70999908447266,22390900,-165.74193548387098
2015-04-16,82.47000122070312,83.06999969482422,82.1500015258789,82.30999755859375,13769700,-193.11555555555557
2015-04-17,81.4800033569336,82.11000061035156,80.37000274658203,80.77999877929688,24215000,-162.23684210526315
2015-04-20,81.54000091552734,83.1500015258789,81.23999786376953,83.08999633789062,28796800,-14.386138613861386
2015-04-21,84.0,84.48999786376953,83.54000091552734,83.62000274658203,27171900,-170.52554744525548
2015-04-22,84.31999969482422,84.73999786376953,83.6500015258789,84.62999725341797,45548000,-100.14634146341464
2015-04-23,84.0999984741211,85.58999633789062,82.41000366210938,82.41000366210938,73728100,-105.71774193548389
2015-04-24,82.7699966430664,82.94000244140625,81.4800033569336,81.52999877929688,29660400,-143.2111801242236
2015-04-27,81.87000274658203,82.93000030517578,81.62999725341797,81.91000366210938,25446000,-104.76165803108807
2015-04-28,81.83000183105469,81.9000015258789,80.2300033569336,80.68000030517578,23775300,-65.92146596858639
2015-04-29,80.01000213623047,81.38999938964844,79.5199966430664,80.47000122070312,26430300,-462.3914373088685
2015-04-30,80.01000213623047,80.95999908447266,78.31999969482422,78.7699966430664,28999000,-458.66795366795367
2015-05-01,79.23999786376953,79.76000213623047,78.11000061035156,78.98999786376953,24136400,-215.2824858757062
2015-05-04,79.33000183105469,79.69000244140625,78.62999725341797,78.80999755859375,14692000,-188.2063492063492
2015-05-05,78.55000305175781,78.80000305175781,77.22000122070312,77.55999755859375,22311300,-361.1326860841424
2015-05-06,77.97000122070312,78.80999755859375,77.05000305175781,78.0999984741211,28663000,-130.36363636363637
2015-05-07,78.0,78.94000244140625,77.55999755859375,78.43000030517578,19749400,-162.7019867549669
2015-05-08,79.0999984741211,79.2300033569336,78.02999877929688,78.51000213623047,19943600,-470.06113537117903
2015-05-11,78.4800033569336,79.02999877929688,77.93000030517578,78.01000213623047,18874100,-234.01315789473685
2015-05-12,77.87000274658203,77.88999938964844,76.79000091552734,77.45999908447266,21285300,-493.16730038022814
2015-05-13,77.72000122070312,78.52999877929688,77.6500015258789,78.44000244140625,21512300,-340.1309823677582
2015-05-14,78.94000244140625,81.8499984741211,78.66999816894531,81.37000274658203,49438000,-260.3453947368421
2015-05-15,81.41000366210938,81.5199966430664,80.18000030517578,80.41999816894531,27069900,-469.0751879699248
2015-05-18,80.33000183105469,81.37999725341797,80.2300033569336,80.87999725341797,21613700,-219.73839662447256
2015-05-19,81.25,81.69000244140625,80.55000305175781,80.62999725341797,17955400,-142.04368932038835
2015-05-20,80.47000122070312,81.0999984741211,79.45999908447266,80.55000305175781,23056900,-412.54700854700855
2015-05-21,80.19000244140625,80.91999816894531,80.08000183105469,80.4800033569336,13402700,-387.1106194690266
2015-05-22,80.3499984741211,81.30999755859375,80.25,80.54000091552734,19567900,-371.2245762711864
2015-05-26,80.43000030517578,80.5999984741211,79.08000183105469,79.33000183105469,16321300,-464.9230769230769
2015-05-27,79.5999984741211,80.66000366210938,79.43000030517578,80.55000305175781,14160900,-141.44525547445255
2015-05-28,80.25,81.06999969482422,80.0,80.1500015258789,11982000,-183.1656050955414
2015-05-29,79.94999694824219,80.06999969482422,78.87999725341797,79.19000244140625,16134600,-365.6623376623377
2015-06-01,79.30000305175781,80.37999725341797,78.66000366210938,80.29000091552734,18119000,-972.598971722365
2015-06-02,79.76000213623047,81.3499984741211,79.55999755859375,80.44000244140625,18923300,-670.6016260162602
2015-06-03,81.3499984741211,82.52999877929688,81.25,82.44000244140625,31775000,-333.76981132075474
2015-06-04,82.13999938964844,82.94999694824219,81.51000213623047,82.05000305175781,20863900,-214.25631768953068
2015-06-05,81.87000274658203,82.45999908447266,81.51000213623047,82.13999938964844,16143100,-157.36868686868686
2015-06-08,81.81999969482422,82.0,80.12999725341797,80.66999816894531,16915500,-314.01063829787233
2015-06-09,80.5999984741211,81.19000244140625,79.31999969482422,80.66999816894531,16497500,-102.66455696202532
2015-06-10,80.83000183105469,82.5999984741211,80.80999755859375,82.16000366210938,21531200,-69.52409638554217
2015-06-11,82.30999755859375,82.9000015258789,81.36000061035156,81.83000183105469,18656800,-182.42162162162165
2015-06-12,81.37000274658203,82.08999633789062,81.19999694824219,81.52999877929688,11417900,-193.7737226277372
2015-06-15,80.55000305175781,80.93000030517578,80.06999969482422,80.70999908447266,18805100,-104.30737704918032
2015-06-16,80.81999969482422,81.51000213623047,80.44999694824219,81.05999755859375,13693700,-233.893536121673
2015-06-17,81.76000213623047,82.22000122070312,81.33999633789062,81.79000091552734,18350300,-138.2970297029703
2015-06-18,81.63999938964844,83.19000244140625,81.56999969482422,82.91000366210938,26782600,-97.875
2015-06-19,82.83000183105469,82.9800033569336,82.12000274658203,82.51000213623047,23353200,-236.2610837438424
2015-06-22,83.41000366210938,84.97000122070312,83.30999755859375,84.73999786376953,29383100,-164.94814814814814
2015-06-23,84.95999908447266,87.97000122070312,84.76000213623047,87.87999725341797,50667900,-232.53648068669528
2015-06-24,87.66000366210938,89.25,87.44999694824219,88.86000061035156,41370200,-73.89090909090909
2015-06-25,89.26000213623047,89.4000015258789,87.83999633789062,87.9800033569336,27302000,18.338607594936708
2015-06-26,88.12000274658203,88.33999633789062,86.83000183105469,88.01000213623047,38214600,-115.30508474576273
2015-06-29,86.61000061035156,87.5,85.7300033569336,85.80000305175781,35957900,11.781954887218046
