DATEADDED,Daily Average Tone
20150626,-1.4406779661016949
20150627,2.2745098039215685
20150628,-1.3402061855670102
20150629,-0.19548872180451127
20150630,-0.15368852459016394
20150701,-1.568922305764411
20150702,-0.7048458149779736
20150703,-1.168141592920354
20150704,-1.4666666666666666
20150705,-1.3576642335766422
20150706,-0.9117647058823529
20150707,-1.3187919463087248
20150708,-0.379746835443038
20150709,-0.8214285714285714
20150710,-2.390909090909091
20150711,-3.910614525139665
20150712,-1.4477611940298507
20150713,-3.4415584415584415
20150714,-2.5954773869346734
20150715,-3.1502890173410405
20150716,-3.28
20150717,-1.9665271966527196
20150718,-0.7526881720430108
20150719,-2.5824175824175826
20150720,-2.923444976076555
20150721,-1.9883720930232558
20150722,-3.4897119341563787
20150723,-3.026315789473684
20150724,-2.9292929292929295
20150725,-2.4831460674157304
20150726,-3.55045871559633
20150727,-2.6927710843373496
20150728,-1.7013574660633484
20150729,-1.453804347826087
20150730,-1.0922190201729107
20150731,-1.0935672514619883
20150801,-2.6
20150802,-2.164102564102564
20150803,-1.5341880341880343
20150804,-3.429090909090909
20150805,-2.522222222222222
20150806,-1.711111111111111
20150807,-3.596363636363636
20150808,-3.8471337579617835
20150809,-5.882352941176471
20150810,-1.1365853658536584
20150811,-0.7053140096618358
20150812,-2.315412186379928
20150813,-2.597938144329897
20150814,-2.106280193236715
20150815,-5.337662337662338
20150816,-2.738095238095238
20150817,-3.106060606060606
20150818,-3.1343283582089554
20150819,-1.8950819672131147
20150820,-1.8617511520737327
20150821,-2.705426356589147
20150822,-2.5247524752475248
20150823,-3.3714285714285714
20150824,-3.289772727272727
20150825,-4.027777777777778
20150826,-2.9122257053291536
20150827,-2.745387453874539
20150828,-2.6072874493927127
20150829,-3.5084745762711864
20150830,-0.8433179723502304
20150831,-3.413502109704641
20150901,-2.611336032388664
20150902,-3.4192139737991267
20150903,-2.8867924528301887
20150904,-2.8560311284046693
20150905,-3.2583333333333333
20150906,-2.343137254901961
20150907,-3.0297029702970297
20150908,-1.7619047619047619
20150909,-1.5702127659574467
20150910,-1.958974358974359
20150911,-2.2901023890784984
20150912,-2.7217391304347824
20150913,-0.2545045045045045
20150914,-1.2446043165467626
20150915,-2.702127659574468
20150916,-2.179738562091503
20150917,-1.6780104712041886
20150918,-2.0
20150919,-2.31
20150920,-1.6483516483516483
20150921,-2.4055299539170507
20150922,-2.3820224719101124
20150923,-1.8262295081967213
20150924,-2.564784053156146
20150925,-2.019083969465649
20150926,-4.107913669064748
20150927,-0.5696969696969697
20150928,-0.9008620689655172
20150929,-2.674757281553398
20150930,-3.224199288256228
20151001,-1.7027027027027026
20151002,-2.711442786069652
20151003,-3.838888888888889
