DATEADDED,Daily Average Tone
20150626,6.964285714285714
20150627,4.2
20150628,-3.142857142857143
20150629,3.789473684210526
20150630,10.61111111111111
20150701,5.0
20150702,11.64
20150703,7.0
20150704,0.0
20150705,0.0
20150706,2.5238095238095237
20150707,12.2
20150708,24.08108108108108
20150709,13.028571428571428
20150710,15.235294117647058
20150711,-0.6153846153846154
20150712,0.6666666666666666
20150713,1.5
20150714,-15.886363636363637
20150715,-4.808510638297872
20150716,2.6
20150717,6.8
20150718,-3.48
20150719,9.473684210526315
20150720,-2.048780487804878
20150721,6.125
20150722,0.0
20150723,7.0
20150724,-5.3125
20150725,3.0
20150726,10.181818181818182
20150727,19.102564102564102
20150728,-8.86111111111111
20150729,20.392857142857142
20150730,37.628571428571426
20150731,5.904761904761905
20150801,20.8125
20150802,-1.0
20150803,14.214285714285714
20150804,13.052631578947368
20150805,4.026315789473684
20150806,-4.407407407407407
20150807,4.096774193548387
20150808,-12.181818181818182
20150809,-1.5714285714285714
20150810,-18.11320754716981
20150811,31.2
20150812,15.16
20150813,4.869565217391305
20150814,-2.8529411764705883
20150815,-1.7878787878787878
20150816,-6.55
20150817,6.333333333333333
20150818,-9.043478260869565
20150819,-4.208333333333333
20150820,-3.58974358974359
20150821,-4.256410256410256
20150822,7.3076923076923075
20150823,-4.666666666666667
20150824,7.318181818181818
20150825,6.555555555555555
20150826,30.337349397590362
20150827,28.060606060606062
20150828,68.57352941176471
20150829,0.5384615384615384
20150830,-0.3333333333333333
20150831,-19.924050632911392
20150901,49.806451612903224
20150902,17.184615384615384
20150903,48.27142857142857
20150904,-126.61458333333333
20150905,-129.06666666666666
20150906,4.7272727272727275
20150907,19.424242424242426
20150908,27.258064516129032
20150909,-13.275862068965518
20150910,20.307692307692307
20150911,1.5
20150912,0.2
20150913,6.0
20150914,-31.333333333333332
20150915,19.8
20150916,28.78846153846154
20150917,21.28205128205128
20150918,24.022222222222222
20150919,12.1
20150920,26.166666666666668
20150921,13.266666666666667
20150922,18.8
20150923,16.575757575757574
20150924,7.857142857142857
20150925,9.297297297297296
20150926,17.372881355932204
20150927,90.51098901098901
20150928,30.416666666666668
20150929,-72.57831325301204
20150930,27.15686274509804
20151001,19.40909090909091
20151002,8.238095238095237
20151003,4.2
20151004,3.4545454545454546
20151005,0.3333333333333333
20151006,8.095238095238095
20151007,5.2
20151008,9.296296296296296
20151009,15.81
20151010,-3.088235294117647
20151011,3.0
20151012,2.176470588235294
20151013,-57.775510204081634
20151014,-158.8735632183908
20151015,9.0
20151016,-17.235294117647058
20151017,1.8
20151018,0.0
20151019,14.1
